,Ques,Ans
1324,What percentage of BYU students are members of the LDS Church?,Approximately 99 percent
1325,How is BYU's size ranked among all private university's in the U.S.?,the third largest
1326,What does LDS stand for?,The Church of Jesus Christ of Latter-day Saints
1327,Who owns and operates Brigham University?,The Church of Jesus Christ of Latter-day Saints
1328,What does MI stand for?,Myocardial infarction
1329,WHat percentage of people suffer from atypical symptoms?,30%
1330,What is the most common symptom of MI?,chest pain or discomfort
1331,How long can the pain of MI last?,more than a few minutes
1332,What can the discomfort of MI feel like?,heartburn
1333,What sorts of departments might one see in a major department store?,"clothing, furniture, home appliances, toys, cosmetics, gardening, toiletries, sporting goods"
1334,Who started influencing department stores in the 1970's? ,discounters
1335,What has begun pressuring department stores in more recent years?,online stores such as Amazon.
1336,"Other than at the check-out lanes at the front of a store, where may customers check out?",at sales counters within each department.
1337,Which constitution gave legislative power to protect intellectual property?,the North German Confederation
1338,When was the Paris Convention?,1883
1339,When was the Berne Convention?,1886
1340,When did the Paris and Berne administrative secretariats merge?,1893
1341,What name did the merged secretariats adopt?,United International Bureaux for the Protection of Intellectual Property
1342,What does Florida stand for ,"Florida i/ˈflɒrɪdə/ (Spanish for ""flowery land"")"
1343,What states border Florida ,"to the west by the Gulf of Mexico, to the north by Alabama and Georgia, to the east by the Atlantic Ocean, and to the south by the Straits of Florida"
1344,What is the state capital of Florida ,Tallahassee is the state capital
1345,Where does Florida rank in US population ,the 3rd most populous
1346,What city has the most people in Florida ,Jacksonville is the most populous city in Florida
1347,What was the name of Brian May and Roger Taylor's band before Queen?,Smile
1348,What was the stage name adopted by Farrokh Bulsara?,Freddie Mercury
1349,What was the name of the album Queen released in 2014?,Queen Forever
1350,What was the name of Queen's 1977 album?,News of the World
1351,In what year did Freddie Mercury die?,1991
1352,Where can you trace back the origins of Presbyterianism back to?,British Isles
1353,What does the Presbyterian church typically emphasize?,sovereignty of God
1354,Which act created the kingdom of Great Britain?,Great Britain
1355,What is the most common Christian denomination in Thuringia? ,Lutheranism
1356,How much of the Thuringia population is non-religious?,Today over two thirds of the population
1357,Which church in the state has the largest amount of members?,The Protestant Evangelical Church in Germany
1358,How much of the Thuringia population are Catholic?,7.8% of the population
1359,How many Jews live in Thuringia?,750 Jews
1360,What must a species do in order to be classified as a predator?,direct impact on the prey population
1361,How would you describe a predator that primarily eats plants?,herbivory
1362,A predator must do what to the prey after it is killed? ,absorption of the prey's tissue through consumption
1363,A species that uses a host body to survive and reproduce is classified as a what?,parasitic species
1364,How would you describe a diet of a species that eats primarily dead organic material? ,detritivory
1365,What does an herbivore eat?,plants
1366,"Do detritivores have a direct impact on ""donor"" organisms?",no
1367,What term is given to an organism that is being hunted?,prey
1368,What term is given to the biological interaction where a predator feeds upon prey?,predation
1369,What is the key characteristic of predation?,the predator's direct impact on the prey population
1370,What do detritivores eat?,dead organic material
1371,What is the key characteristic of predation?,predator's direct impact on the prey population
1372,"Captain America, Thor and Ultron all inhabit what fictional milieu?",Marvel Universe
1373,Fictional placements within this setting are modeled off what?,real-life cities
1374,Spiderman's fictional city is based off what real American location?,New York
1375,What Marvel character's stories are set in an area resembling the American Southwest?,Hulk
1376,Which two groups of Marvel crimefighters are based in a fictional version of New York City?,"the Fantastic Four, the Avengers"
1377,The United Kingdom ruled what empire?,British
1378,"Which empire was the largest in history, at its height?",British
1379,When did 458 million people live in the British Empire?,1922
1380,How much of the world's population did the British Empire rule in 1922?,one-fifth
1381,How many square miles did the British Empire rule in 1922?,"13,000,000"
1382,What is botany?,science of plant life
1383,What does the word botany mean?,"""to feed"" or ""to graze"""
1384,What is  a plant scientist called?,A botanist
1385,Does botany only study plants?,included the study of fungi and algae
1386,What is Madonna's real name?,Madonna Louise Ciccone
1387,When was Madonna born?,"August 16, 1958"
1388,Which is the other name that Madonna is always referred as?,Queen of Pop
1389,Madonna became a fixture on which TV channel?,MTV
1390,Who is known for maintaining her autonomy and reinventing her image in the music industry?,Madonna
1391,What city is the capital of England?,London
1392,Who founded the city of London?,the Romans
1393,"As of 2011, what was the population of London?","7,375"
1394,What part of London constitutes the bulk of the city?,county of Greater London
1395,"When founded by the Romans, what was the name they gave the city of London?",Londinium
1396,As of 2011 what was the population of the core of London?,"7,375"
1397,On what river is London situated?,River Thames
1398,"What was London's original name, as founded by the Romans?",Londinium
1399,What bodies govern Greater London?,the Mayor of London and the London Assembly
1400,What is the approximate area of the core of the City of London?,1.12-square-mile (2.9 km2)
1401,What is the foundation of the United States federal government?,United States Constitution
1402,In the Unites States what sets out the boundaries of federal law?,The Constitution
1403,What is defined as the official codification of federal statutory law?,The United States Code
1404,What is compromised of many levels of codified and uncodified forms of law?,law of the United States
1405,The constitution set boundaries for case law that originates from where?,federal judiciary
1406,What is the foundation of the U.S. federal government?,the United States Constitution
1407,What sets out the boundries of federal law?,The Constitution
1408,What two forms of law make up the laws of the United States?,codified and uncodified
1409,What is th eofficial compilation of federal statutory law called?,The United States Code
1410,What different kinds of law make up the laws of the United States?,codified and uncodified
1411,"What is the most important document in the US, setting the boundries for all other laws?",the United States Constitution
1412,What branch of gevernment is responsible for ratifing treaties?,Senate
1413,With branch of government deals with new regulations?,the executive branch
1414,Who's responsibility is case law?,the federal judiciary
1415,How much a  Myanmar's boundaries are encompassed by beachfront lands?,"(1,200 miles) forms an uninterrupted coastline"
1416,How many people dwell in  Myanmar ?,51 million people recorded
1417,What is the land mass of  Myanmar ?,"Myanmar is 676,578 square kilometres (261,227 sq mi) in size"
1418,Is the capital city the holder of the largest amount of the population in  Myanmar ?,largest city is Yangon (Rangoon)
1419,What is the name of the capital city of Myanmar?,capital city is Naypyidaw
1420,"Which group originated as a national and religious group in the Middle East during the second millennium BCE, in the part of the Levant known as the Land of Israel?",Jews
1421,"Who consolidated their hold with the emergence of the Kingdom of Israel, and the kingdom of Judah?",Israelites
1422,What were incoming nomadic groups known as?,Hebrews
1423,When did Jews originate as a national and religious group in the Middle East?,"during the second millennium BCE, in the part of the Levant known as the Land of Israel"
1424,What appears to confirm the existence of a people of Israel?,The Merneptah Stele
1425,What is the most frequent use of cotton?,fabric
1426,To what date has cotton been dated?,5000 BC
1427,Where in India has cotton been found from prehistoric times?,Indus Valley
1428,In what Central American country has cotton use been found from early times?,Mexico
1429,What machinery has lead to the  easily made and widespread use of cotton?,cotton gin
1430,What involves encoding information using fewer bits than the original representation?,data compression
1431,What can be either lossy or lossless?,Compression
1432,What reduces bits by identifying and eliminating statistical redundancy? ,Lossless compression
1433,What is the process called of reducing the size of a data file?,data compression
1434,What is the process called of encoding at the source of the data before it's processed?,source coding
1435,Which newspaper overtook The Sun as largest Saturday UK newspaper?,Daily Mail
1436,What was the sun's circulation per day in March 2014?,2.2 million copies
1437,What was the largest demographic for readers of The Sun?,C2DE demographic
1438,What is the percentage of The Sun readers who are women?,Approximately 41%
1439,What is one controversial event covered by The Sun?,1989 Hillsborough football stadium disaster
1440,When does Fastelavn occur?,Shrove Tuesday
1441,The Philippines stopped celebrating Carnival after what year? ,1939
1442,Maslenitsa is celebrated in what type of nation?,Eastern Orthodox
1443,What is the Carnival celebration known as in Lutheran countries?,Fastelavn
1444,When does Carnival typically begin in the Netherlands?,on 11/11
1445,The term Carnival is very common in areas with a large presence of which religious sect?,Catholic
1446,What country no longer celebrates Carnival?,the Philippines
1447,The Manila Carnival was dissolved after what year?,1939
1448,What is the Carnival known as in countries which are mostly Lutheran?,Fastelavn
1449,What is the name of the festival celebrated in Eastern Orthodox nations during the last week before Great Lent?,Maslenitsa
1450,What is the difference between a pesticide and a plant protection product?,pesticides are also used for non-agricultural purposes
1451,What is the purpose of a pesticide?,"Pesticides are substances meant for attracting, seducing, and then destroying any pest"
1452,What are pesticides most commonly used for?,The most common use of pesticides is as plant protection products
1453,What can pesticides protect plants from?,"protect plants from damaging influences such as weeds, fungi, or insects"
1454,"What item commonly used in hospitals, schools and offices is a pesticide?",sanitizer
1455,What type of region is somerset,Somerset is a rural county of rolling hills
1456,What are some areas of Somerset county,"Blackdown Hills, Mendip Hills, Quantock Hills and Exmoor National Park, and large flat expanses of land including the Somerset Levels"
1457,How far back was the county populated ,"There is evidence of human occupation from Paleolithic times, and of subsequent settlement in the Roman and Anglo-Saxon periods"
1458,What Kings rise did the county play part in ,"a significant part in the consolidation of power and rise of King Alfred the Great, and later in the English Civil War and the Monmouth Rebellion"
1459,What is the city of Bath famous for ,substantial Georgian architecture and is a UNESCO World Heritage Site
1460,When was the Collegiate School of Saybrook Colony founded?,1701
1461,When was the Collegiate School renamed to Yale College?,1718
1462,Why was the school named Yale College?,recognition of a gift from Elihu Yale
1463,When did Yale first incorporate humanities and sciences?,by 1777
1464,When did Yale issue the first Ph.D in the United States?,1861
1465,What shattered the unity of the Catholic Church?,the Western Schism
1466,"What are the series of events that ended centuries of prosperity in Europe, starting around 1300, known as?",the Crisis of the Late Middle Ages
1467,In what years was the Great Famine?,1315–1317
1468,Which two countries experienced peasant uprisings?,France and England
1469,What major conflict occurred in Europe during the Crisis of the Late Middle Ages?,Hundred Years' War
1470,When was Ann Arbor founded?,1824
1471,Which University moved from Detroit to Ann Arbor in 1837?,University of Michigan
1472,"During  the 1960's & 70's, Ann Arbor gained a reputation for what?",center for left-wing politics
1473,Which type of tree is associated with the city Ann Arbor's name?,Bur Oak
1474,What is one time period in which Gothic architecture flourished?,late medieval period
1475,What style of architecture did Gothic architecture evolve from?,Romanesque architecture
1476,What style of architecture came after the Gothic style?,Renaissance architecture
1477,Where did the Gothic architecture style originate?,France
1478,"Gothic architecture is known for being commonly used in cathedrals and churches, what is one example of a lesser known type of structure in which Gothic architecture has been used?","private dwellings, such as dorms and rooms"
1479,Name the 8 peopl who began the movement,"Georges Braque and Pablo Picasso, joined by Jean Metzinger, Albert Gleizes, Robert Delaunay, Henri Le Fauconnier, Fernand Léger and Juan Gris."
1480,Which person  was the most influential in beginning the movement with is three dimensional forms?,Paul Cézanne
1481,What year's were Cezannes painting's displayed at Salon d'Automne? Not including the retrospectives.,1905 and 1906
1482,What specifically dates back with Confucius in the 6th century BC?,Chinese political philosophy
1483,Chinese political philosophy dates back to what century?,6th century BC
1484,Chinese political philosophy was developed as a response to what?,the social and political breakdown of the country
1485,"What advocated a communal, decentralized government centered on frugality and ascetism?",Mohism
1486,What is an alloy?,a mixture of metals or a mixture of a metal and another element
1487,What are alloys defined by?,metallic bonding character
1488,When are Zintl considered alloys?,depending on bond types
1489,What is solid solution metal elements classified as?,a single phase
1490,In what ocean is Norfolk Island found?,Pacific Ocean
1491,How far away is the nearest land mass to Norfolk Island?,about 900 kilometres (560 mi)
1492,What is the capital city of Norfolk Island?,Kingston
1493,How many people live on Norfolk Island?,"1,796"
1494,How far away is Evans Head from Norfolk Island?,"1,412 kilometres (877 mi)"
1495,Where was Burke born?,"Dublin, Ireland"
1496,What was Burke's mother's maiden name?,Nagle
1497,When did Burke's mother die?,1770
1498,When did Burke's father die?,1761
1499,When did Burke's ancestors arrive in Ireland?,1185
1500,What was Samoa's old name?,Western Samoa
1501,How many administrative divisions does Samoa have?,eleven
1502,How many little islands are there around Savai'i and Upolu?,four
1503,What's the name of Samoa's capital?,Apia
1504,About how long ago were the Samoan islands discovered?,"3,500 years"
1505,On What date was Pope Paul VI born?,26 September 1897
1506,On what date did Pope Paul VI die?,6 August 1978)
1507,In what year did Pope Paul VI close the Second Vatican Counsel?,1965
1508,When was Pope Paul VI elected as Pope?,21 June 1963
1509,What was Pope Paul VI's first name at birth?,Giovanni
1510,For which country did George VI stop using the title Emperor but continue to use the title of King?,India
1511,In what month and year did George VI discontinue using the title Emperor of India?,June 1948
1512,In 1949 what country solely proclaimed independence from the Commonwealth?,Ireland
1513,What Child of George VI ascended the throne?,Elizabeth
1514,What was the name used after the dissolution of the British Empire?,Commonwealth of Nations
1515,What year was Britain and allies victorious in the war?,1945
1516,When did India and Pakistan gain independence?,1947
1517,What title did George have in India prior to 1948?,Emperor of India
1518,What did Ireland declare itself in 1950?,republic
1519,What is the largest rating of an electric motor?,100 megawatts
1520,What is the main example of a DC power source?,batteries
1521,What does AC stand for?,alternating current
1522,What does DC stand for?,direct current
1523,In what device are small motors commonly found?,electric watches
1524,What is the official name of Switzerland?,Swiss Confederation
1525,What type of government does Switzerland have?,a federal directorial republic
1526,How many cantons are in Switzerland's federal directorial republic?,26
1527,What 3 geographical features divide Switzerland?,"the Alps, the Swiss Plateau and the Jura"
1528,What is the population of Switzerland?,approximately 8 million
1529,Of Africa what rank in size country is Mali?,Mali is the eighth-largest country in Africa
1530,What is Mali's capital named?,Bamako
1531,What are two major rivers located inside of Mali?,Niger and Senegal rivers
1532,Besides salt what other major natural resources does Mali produce?,prominent natural resources include gold
1533,More than half of the population is what religion?,(55%) are non-denominational Muslims
1534,What is the purpose of an NPO?,"A nonprofit organization (NPO, also known as a non-business entity) is an organization whose purposes are other than making a profit."
1535,What does an NPO do with it's surplus income?,"In economic terms, a nonprofit organization uses its surplus revenues to further achieve its purpose or mission"
1536,What is the constraint's upon an NPO's financial distributions called?,the distribution constraint
1537,What is the definition of a non-profit organization?,purposes are other than making a profit
1538,What is an NPO also known as?,non-business entity
1539,What is the purpose of an NPO?,furthering a particular social cause or advocating for a particular point of view
1540,"What does a non-profit do with the money it takes in, instead of using it for a profit?","further achieve its purpose or mission, rather than distributing its surplus income to the organization's shareholders (or equivalents) as profit"
1541,What is it called when a non-profit uses it's money as it should?,distribution constraint
1542,What state is Raleigh the capital of?,North Carolina
1543,What is the biggest city in NC?,Charlotte
1544,Who is it named after?,Sir Walter Raleigh
1545,What county is Raleigh in?,Dare
1546,What is the population of the city?,"439,896"
1547,What does RDN stand for?,Registered dietitian nutritionists
1548,Who offers dietary advice on the role of nutrition in chronic diseases?,Certified Clinical Nutritionists
1549,For which health professional is Governmental regulation more universal?,RDN
1550,Who typically specializes in obesity and chronic disease?,Certified Nutrition Specialist
1551,What year did the Crimean War begin?,1853
1552,What year did the Crimean War end?,1856
1553,Who controlled the rights of Christian minorities in the Holy Land?,Ottoman Empire
1554,Who promoted the rights of the Catholic people?,The French
1555,Who promoted the rights of the Eastern Orthodox Christians?,Russia
1556,What two key elements that distinguish literature as a written form of art?,deemed to have artistic or intellectual value
1557,What are two major divisions of literature?,fiction or non-fiction
1558,"Besides this major division, what are two other sub-divisions to describe literature?",poetry or prose
1559,Prose literature can be sub-divided into what formats?,"the novel, short story or drama"
1560,"What words are the Latin roots of the word ""literature?""",literatura/litteratura
1561,What was the term used to describe the age in which Ibn Sina created a big body of work?,the Islamic Golden Age
1562,What is one example of the type of translations done in the Islamic Golden Age?,Persian
1563,What school translated Greco-Roman texts during the Islamic Golden Age?,the Kindi school
1564,What was one dynasty that provided a great atmosphere for cultural development?,the Buyid dynasty
1565,What city was known as a cultural capital of the Islamic world?,Baghdad
1566,What are logograms used in the writing of Chinese?,Chinese characters
1567,What are Chinese characters called in standard Chinese?,Hanzi
1568,What have been adapted to write in a number of other languages?,Chinese characters
1569,The first known European explorer to reach Bermuda was of what nationality?,Spanish
1570,What is the name of the first European explorer to reach Bermuda?,Juan de Bermúdez
1571,What animal did the Spaniards or other Europeans bring to the island that then became wild inhabitants?,pigs
1572,What company permanently settled Bermuda?,the English Virginia Company
1573,Who was the first known European explorer to reach Bermuda?,Juan de Bermúdez
1574,In what year did Jaun de Bermudez first reach Bermuda?,1503
1575,How many times did Bermudez visit the archipelago?,two
1576,What animal are European parties responsible for releasing in Bermuda?,pigs
1577,In what year did the English Virginia Company settle permanently in Bermuda?,1609
1578,When did the Southern and Northern Nigeria Protectorates merge?,1914
1579,Which empire ruled Nigeria as a colony?,British
1580,When did Nigeria become independent from Britain?,1960
1581,When did a Nigerian Civil War begin?,1967
1582,When did Nigeria have a fair presidential election?,2011
1583,How far back does evidence of inhabitation date back,"inhabitation in the region of Utrecht, dating back to the Stone Age (app. 2200 BCE)"
1584, What did the Roman emperor Claudius decide ,Claudius decided the empire should not expand north.
1585,What was built along the Rhine ,To consolidate the border the limes Germanicus defense line was constructed  along the main branch of the river Rhine
1586,How many soldiers did the fortress hold ,These fortresses were designed to house a cohort of about 500 Roman soldiers
1587,Who settled near the fort ,"Near the fort settlements would grow housing artisans, traders and soldiers' wives and children"
1588,What is John von Neumann's nationality?,Hungarian
1589,When was John von Neumann born?,"December 28, 1903"
1590,When did John von Neumann die?,"February 8, 1957"
1591,What was John von Neumann's major contribution to economics?,game theory
1592,What computing structure is named after John von Neumann?,Von Neumann architecture
1593,What was the birth date of John Von Neumann?,"December 28, 1903"
1594,When did John Von Neuman die?,"February 8, 1957"
1595,What were the occupations that Von Neuman held?,"pure and applied mathematician, physicist, inventor, computer scientist, and polymath"
1596,What were Von Neuman's contributions to the field of computing?,"Von Neumann architecture, linear programming, self-replicating machines, stochastic computing"
1597,The agreement between the Nazis and the Soviets split what countries up?,"Romania, Poland, Lithuania, Latvia, Estonia, and Finland"
1598,Who invaded Poland after the Nazi’s?,Soviet
1599,Which countries were taken over by the Soviets?,"Estonia, Latvia, Lithuania, and parts of Romania"
1600,Who broke the agreement with the invasion of Bukovina?,Stalin
1601,Salla is located in what country?,Finland
1602,What was a capacitor originally known as?,a condenser
1603,"How many electrical conductors, or plates, do all capacitors contain at a minimum?",two electrical conductors
1604,What is the name of the insulator in all capacitors that can store energy by becoming polarized?,a dielectric
1605,In what form does a capacitor store energy?,the form of an electrostatic field
1606,Where is the energy stored by a capacitor located?,between its plates
1607,What are natural and social sciences a subcategory of?,The history of science
1608,What is the history of arts and humanities called?,the history of scholarship
1609,What kind of phenomena does science study?,real world
1610,Intellectual history and social history are used in what?,Historiography of science
1611,How many people speak Czech?,10 million
1612,Which two languages strongly influenced Czech?,Latin and German
1613,In which country is Czech the official language?,Czech Republic
1614,Which language is closest to Czech?,Slovak
1615,What name was the Czech language formerly known as?,Bohemian
1616,What was Czech formerly known as?,Bohemian
1617,What languages strongly influenced Czech?,Latin and German
1618,Over how many million people speak Czech?,10
1619,What vocabulary associated with higher classed culture have been adopted over the years?,loanwords
1620,What is the official language of the Czech republic?,Czech
1621,What does Digimon stand for?,Digital Monsters
1622,What forms of entertainment does the Digimon franchise include?,"virtual pet toys, anime, manga, video games, films and a trading card game"
1623,What is the Digital World in which the Digimon creatures live?,a parallel universe that originated from Earth's various communication networks
1624,What are the people who raise Digimon called?,"""Digidestined"" or ""Tamers"""
1625,What are the Digimon villians main goals?,trying to destroy the fabric of the Digital world
1626,How long does it take glaciers to form?,"many years, often centuries"
1627,"Do glaciers form on land, in the sea, or a combination of both?",only on land
1628,Which types of ice form on a body of water's surface?,sea ice and lake ice
1629,What causes glaciers to deform and flow?,stresses induced by their weight
1630,What are some distinguishing glacial features?,"crevasses, seracs"
1631,What is considered the minimal energy increment of a hypothetical oscillator?,value E
1632,In what year was the value E associated by Einstein with quantum theories of energy?,1905
1633,Who discovered an association between the value E and quantum energy?,Einstein
1634,What did the light quantum behave the same as in laboratory experiments?,neutral particle
1635,What type of charge did a particle have that behaved similarly to light quantum energy?,neutral
1636,What is energy abbreviated to in science?,E
1637,What is frequency also known as in science?,f
1638,What term describes a small amount of element?,quantum
1639,"What did the light quantum, in some ways, behave as?",an electrically neutral particle
1640,What was later termed the photon?,The light quantum
1641,When did Max Planck first recognize the value of the Planck constant?,1900
1642,Which scientist associated the Planck constant with a quantum five years after Planck's recognition?,Einstein
1643,"Instead of an electromagnetic wave, what did the light quantum behave as in some regards?",an electrically neutral particle
1644,What is the simple name given to the light quantum today?,the photon
1645,What is the largest cable company in the world by revenue?,Comcast Corporation
1646,What merged companies are the largest pay TV entity in the world?,AT&T-DirecTV
1647,Comcast is also the largest media company in the United States in what broadband area?,Internet service provider
1648,In what areas of the US does Comcast operate?,40 states and the District of Columbia
1649,Where is Comcast company headquarters?,"Philadelphia, Pennsylvania"
1650,What bacterium causes tuberculosis infection?,Mycobacterium tuberculosis
1651,What primary body part is affected by tuberculosis?,lungs
1652,"Roughly, what percentage of latent tuberculosis infections result in active tuberculosis?",10%
1653,"Along with cough, weight loss, and night sweats, what's the fourth classic symptom of the disease?",fever
1654,What name has been used to refer to tuberculosis because of associated weight loss?,consumption
1655,"Outside of employment, what is the other main issue that affirmative action focuses on?",education
1656,Affirmative action attempts to ask institutions to grant extra consideration to what group of people outside of Native Americans and women?,racial minorities
1657,Studies showed that discrimination in both business sectors and education resulted in advantages for what group of people?,whites and males
1658,"Affirmative action does not only attempt to remove disadvantages, but also to ensure what about the number of people in a field?",are more representative of the populations they serve
1659,Who is the competition open too?,any eligible club
1660,How many clubs competed in 20011-12?,763 clubs
1661,How many rounds in the tournament?,12
1662,How many games are needed to win?,six to fourteen
1663,What league can compete?,Premier League and Football League
1664,When did Stadtrepublik become a part of Alsace?,4 January 1798
1665,What years did Germany hold possession over Lorrain-Alscace?,1871–1918
1666,Which other country had control over Alsace?,France
1667,How many times did Germany and France switched and had control of Alscace?,four times
1668,What individuals subscribe to a doctrine that baptism should be performed only for professing believers?,Baptists
1669,"Soul competency (liberty), salvation through faith alone, Scripture alone as the rule of faith and practice, and the autonomy of the local congregation what examples of what?",tenets of Baptist churches
1670,What two ministerial offices do Baptists recognize?,elders and deacons
1671,Baptist churches are widely considered to be what?,Protestant churches
1672,What does child labour deprive children of?,deprives children of their childhood
1673,Are child artists an exception to the laws with regards to child labour?,exceptions include work by child artists
1674,Is work done by Amish children an exception?,work such as those by Amish children
1675,Where is there legislation that prohibits child labour?,Legislation across the world
1676,Is all work done by children considered to be child labour?,These laws do not consider all work by children as child labour
1677,How many main geographical sections make up North Carolina?,three
1678,What section of North carolina makes up 45% of the state?,Atlantic Coastal Plain
1679,What is the section in the middle 35% of North Carolina called?,the Piedmont region
1680,Tha Appalacian mountains and foothills make up a region of what state?,North Carolina
1681,The extreme eastern section of North Carolina is called what?,Outer Banks
1682,What is the name of the last period of classical Japanese history?,Heian
1683,The Heian period is named after what city?,Heian-kyō
1684,What does heian mean in Japanese?,peace
1685,What was the name of the prominent clan during the Heian period?,Fujiwara
1686,The Heian period was known for what types of art?,poetry and literature
1687,When was the Origin of Species published?,24 November 1859
1688,Who wrote The Origin of Species?,Charles Darwin
1689,What branch of biology was The Origin of Species founded on?,evolutionary biology
1690,What was the expedition called that Charles Darwin discovered some of his evidence?,Beagle expedition
1691,How do populations evolve according to Charles Darwin's theory?,through a process of natural selection
1692,On what date did the Soviet Union dissolve?,"December 26, 1991"
1693,What entity was created in place of the Soviet Union?,Commonwealth of Independent States
1694,Who was president of the Soviet Union when it came to an end?,"Mikhail Gorbachev,"
1695,Who became president of Russia after Gorbachev left office?,Boris Yeltsin
1696,Which flag replaced the Soviet flag at the Kremlin?,pre-revolutionary Russian flag.
1697,Who was the person that tried Jesus?,Pontius Pilate
1698,How long was Jesus hung for?,six hours
1699,What did the sign say on top of Jesus' cross?,"Jesus of Nazareth, King of the Jews"
1700,What was done to make sure Jesus was dead?,they pierced his side with a spear
1701,How many statements did Jesus make on the cross?,seven statements
1702,On which coast of Florida is Miami located?,Atlantic
1703,Miami is located in which Florida county?,Miami-Dade County
1704,Where does Miami fall among the most populous urban areas in the United States?,eighth
1705,Which city is the only one with a larger population than Miami in the southeastern United States?,"Washington, D.C."
1706,What is the approximate population of Miami's metro area?,5.5 million
1707,Which Florida county is Miami located in?,Miami-Dade
1708,How does Miami rank as a populous metropolis compared with other Southeastern states in the U.S.?,second most populous
1709,What is the population of Miami?,"430,332"
1710,How is the size of Miami's urban area rated compared with other U.S. urban areas?,fourth-largest
1711,Which coast is Miami located on?,Atlantic
1712,What is the approximate population of the Miami metro area?,5.5 million
1713,In what geographic portion of Florida is Miami located?,southeastern
1714,What county is Miami located in?,Miami-Dade County
1715,Where does Miami rank among American cities by population?,44th
1716,How many people live in Miami?,"430,332"
1717,"What kinds of governed nations may not have a specific, individual high court?",Civil law states
1718,What is an example of a highest court not being specifically called a Supreme Court?,the High Court of Australia
1719,To which body can decisions made by this specific high court be appealed?,the Privy Council
1720,What Canadian courts also are not specifically the highest courts in that country?,the Supreme Courts of several Canadian provinces/territories
1721,What type of documents does a textual critic usually analyze?,"a manuscript copy, several or many copies, but not the original document"
1722,What is the goal of the textual critic?,"the production of a ""critical edition"" containing a scholarly curated text."
1723,What is the proper name for textual scholarship?,philology
1724,Why are there differences in ancient copies of the same text?,Ancient scribes made alterations when copying manuscripts by hand
1725,What do textual critics call a revised edition of a text?,recensions
1726,What does LP stand for when it comes to time capacity?,long playing
1727,What are common diameters found in phonograph records?,"12"", 10"", 7"""
1728,What is a gramophone or 'vinyl' record?,analogue sound storage medium
1729,Where does the groove on a vinyl record typically start?,near the periphery
1730,In what method is the rotational speed measured in?,rpm
1731,Warner Bros. pictures before what year are part of the Turner Entertainment library?,1950
1732,Up until what month and year of release are films from Metro-Goldwyn-Mayer part of the Turner Entertainment library?,May 1986
1733,What company owns TCM and Warner Bros.?,Time Warner
1734,What is Turner Classic Movies called in France?,TCM Cinéma
1735,What is the Spanish version of Turner Classic Movies?,TCM España
1736,What was the origin of Hindu philosophy?,ancient India
1737,How many main systems of Hindu philosophy are there?,six
1738,What are the main orthodox systems of Hindu philosophy called?,Astika
1739,What is the accepted source of knowledge in the Astika system?,Vedas
1740,What are the non-orthodox Indian philosophies that do not accept Vedas called?,nāstika
1741,What are the two most powerful political parties in the United States?,Democratic Party and the Republican Party
1742,Name a nation that has a one-party political system.,China
1743,How are political parties elected in democracies? ,the electorate
1744,What are some countries that have multiple powerful political parties?,Germany and India
1745,What does A cappella mean in the Italian language?,in the manner of the chapel
1746,What is another term occasionally used to refer to A cappella?,alla breve
1747,At what point did Renaissance polyphony become popular again?,19th century
1748,How is A cappella currently defined?,group or solo singing without instrumental accompaniment
1749,A cappella was originally used to tell the difference between which two styles?,Renaissance polyphony and Baroque concertato
1750,What is the Latin for Order of Preachers?,Ordo Praedicatorum
1751,What Pope approved of the Order of Preachers?,Pope Honorius III
1752,"After the 15th century, what was the Order of Preachers known as?",the Dominican Order
1753,What religion does the Dominican Order belong to?,Roman Catholic
1754,What Spanish Priest founded the Order of Preachers?,Saint Dominic de Guzman
1755,How many public schools are regulated by the 1868 Public Schools Act?,ten
1756,Which type of school requires students to live at the school?,boarding school
1757,How many all-male boarding schools exist in the UK?,four
1758,How much does Eton College charge per term?,"up to £11,478"
1759,How does Eton College rate expense-wise with the other HMC boarding schools in the UK?,sixth most expensive
1760,Who was thought to have founded Cork?,Saint Finbarr
1761,When was Cork believed to have been founded?,6th century
1762,When did Viking travelers establish a trading post in Cork?,some point between 915 and 922
1763,What kind of settlement was Cork?,ecclesiastical
1764,What did the Norsemen provide to the monastery?,otherwise unobtainable trade goods
1765,What is federalism?,"mode of government, combining a general government (the central or 'federal' government) with regional governments"
1766,What features are distinctive of federalism? ,a relationship of parity between the two levels of government
1767,What is federlism defined as?,a form of government in which there is a division of powers between two levels of government of equal status
1768,What document exemplified modern federalist government?,Constitution of 1789
1769,What distinguishes Federalism from other types of government?,a relationship of parity between the two levels of government established
1770,Is the division of power among different levels of government equal in a Federalist government? ,there is a division of powers between two levels of government of equal status.
1771,Federalism combines what two types of government?,general government (the central or 'federal' government) with regional governments
1772,What is federalism? ,Federalism refers to the mixed or compound mode of government
1773,"In Federalism, are the division of powers equal? ",division of powers between two levels of government of equal status
1774,What type of governments are included in federalism? ,general government (the central or 'federal' government) with regional governments
1775,How many governments are apart of federalism?,relationship of parity between the two levels of government
1776,Which country is Galicia in?,Spain
1777,Where is its geographic location?,North-West of the Iberian Peninsula
1778,Which large body of water does Galicia border?,Atlantic Ocean
1779,What is its largest island?,Arousa
1780,"Which old english word does the word ""green"" originate from?",grene
1781,"Other than ""grass"", what other Germanic root word is similar to green?",grow
1782,Which season is green most commonly associated with?,springtime
